Tipo,anio,Suma_Total_sueldos,Conteo_Empleados,Promedio_sueldo,Salario_Minimo,Salario_Maximo
ADMIN,2019,18235639.07,1732,10528.65997113164,1868.27,81117.27
ADMIN,2020,246307007.52,20830,11824.62830148824,177.2,92810.86
ADMIN,2021,248742064.04,17842,13941.377874677726,544.11,121781.67
ADMIN,2022,224141735.48,16604,13499.26135148157,198.64,140205.63
ADMIN,2023,265607486.83,18418,14421.081921489847,319.14,147051.59
ADMIN,2024,21309562.04,1568,13590.281913265306,962.7,111868.46
CENTRO,2019,5562617.36,561,9915.538966131908,1100.22,81221.97
CENTRO,2020,72076014.53,6548,11007.332701588271,1167.8,90359.69
CENTRO,2021,76278090.86,5731,13309.734925841913,1515.67,120970.94
CENTRO,2022,73760019.57000001,5643,13071.064960127593,245.38,92446.62
CENTRO,2023,86933257.61,6148,14140.087444697463,1382.31,97124.87
CENTRO,2024,6533816.19,486,13444.066234567903,3835.78,75242.34
FACULTAD,2019,75140098.27,6117,12283.815313061958,408.99,86245.29
FACULTAD,2020,967841276.02,68859,14055.407078522778,177.2,98881.96
FACULTAD,2021,1011456715.93,62623,16151.521261038275,297.42,138744.51
FACULTAD,2022,1114363335.58,63325,17597.526025740226,189.65,140739.88
FACULTAD,2023,1272210946.04,68585,18549.405059998542,348.02,144501.4
FACULTAD,2024,92956887.83,5018,18524.68868672778,825.27,107217.26
HOSPITAL,2019,17910940.36,2615,6849.30797705545,2126.11,35113.85
HOSPITAL,2020,232678561.44,30868,7537.856726707269,175.41,48428.84
HOSPITAL,2021,259524412.24,27305,9504.64794872734,1430.54,56120.97
HOSPITAL,2022,224326815.81,20665,10855.398781030728,2517.72,81009.01
HOSPITAL,2023,259858223.95,22058,11780.67929776045,2537.88,85007.77
HOSPITAL,2024,22283916.72,2038,10934.208400392541,4558.05,67997.51
OTRO,2019,1927279.45,238,8097.81281512605,2611.44,40227.46
OTRO,2020,26224719.98,2835,9250.342144620812,1384.96,58777.06
OTRO,2021,35093917.11,3040,11544.051680921053,3041.28,78959.29
OTRO,2022,33565792.07,2789,12035.06348870563,1535.48,63580.03
OTRO,2023,39365394.03,3044,12932.126816688567,285.73,67532.31
OTRO,2024,2956361.03,244,12116.233729508196,3461.6,53238.55
PREPARATORIA,2019,34551189.67,3147,10979.087915475056,294.44,53160.36
PREPARATORIA,2020,428779179.5,35242,12166.709593666648,256.14,65394.43
PREPARATORIA,2021,463033723.37,32884,14080.821170478044,187.54,69090.83
PREPARATORIA,2022,498356771.2,32785,15200.75556504499,205.36,70878.55
PREPARATORIA,2023,565306402.04,35318,16006.183873379012,230.03,115258.74
PREPARATORIA,2024,35372414.55,2448,14449.515747549018,870.12,58153.83
